Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven TestSuite,Chrome 90.0.4430.212,,,2021-05-28 09:34:04,2021-05-28 09:34:43,39.226s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Data Driven/Data Driven Test Case,Chrome 90.0.4430.212,This my Data Driveb Test case,DataDriven,2021-05-28 09:34:05,2021-05-28 09:34:16,11.865s,PASSED
openBrowser(URL),Chrome 90.0.4430.212,,,2021-05-28 09:34:05,2021-05-28 09:34:12,7.430s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:12,2021-05-28 09:34:14,1.288s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 90.0.4430.212,,,2021-05-28 09:34:14,2021-05-28 09:34:15,1.020s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 90.0.4430.212,,,2021-05-28 09:34:15,2021-05-28 09:34:16,0.843s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:16,2021-05-28 09:34:16,0.872s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Data Driven/Data Driven Test Case,Chrome 90.0.4430.212,This my Data Driveb Test case,DataDriven,2021-05-28 09:34:16,2021-05-28 09:34:26,9.417s,PASSED
openBrowser(URL),Chrome 90.0.4430.212,,,2021-05-28 09:34:16,2021-05-28 09:34:22,5.474s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:22,2021-05-28 09:34:23,1.094s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 90.0.4430.212,,,2021-05-28 09:34:23,2021-05-28 09:34:24,0.978s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 90.0.4430.212,,,2021-05-28 09:34:24,2021-05-28 09:34:25,0.925s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:25,2021-05-28 09:34:26,0.914s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Data Driven/Data Driven Test Case,Chrome 90.0.4430.212,This my Data Driveb Test case,DataDriven,2021-05-28 09:34:26,2021-05-28 09:34:34,7.940s,PASSED
openBrowser(URL),Chrome 90.0.4430.212,,,2021-05-28 09:34:26,2021-05-28 09:34:30,4.088s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:30,2021-05-28 09:34:31,1.111s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 90.0.4430.212,,,2021-05-28 09:34:31,2021-05-28 09:34:32,0.861s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 90.0.4430.212,,,2021-05-28 09:34:32,2021-05-28 09:34:33,0.978s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:33,2021-05-28 09:34:34,0.886s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Data Driven/Data Driven Test Case,Chrome 90.0.4430.212,This my Data Driveb Test case,DataDriven,2021-05-28 09:34:34,2021-05-28 09:34:43,8.822s,PASSED
openBrowser(URL),Chrome 90.0.4430.212,,,2021-05-28 09:34:34,2021-05-28 09:34:39,5.289s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:39,2021-05-28 09:34:41,1.336s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 90.0.4430.212,,,2021-05-28 09:34:41,2021-05-28 09:34:41,0.773s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 90.0.4430.212,,,2021-05-28 09:34:41,2021-05-28 09:34:42,0.605s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 90.0.4430.212,,,2021-05-28 09:34:42,2021-05-28 09:34:43,0.805s,PASSED
