Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Making Appointment TestSuite,Chrome 91.0.4472.101,,,2021-06-15 20:57:10,2021-06-15 20:57:35,25.529s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Open Browser,Chrome 91.0.4472.101,This test case is for opening the application on the browser,Browser,2021-06-15 20:57:18,2021-06-15 20:57:24,5.807s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:18,2021-06-15 20:57:18,0.028s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 20:57:19,2021-06-15 20:57:24,5.270s,PASSED
maximizeWindow(),Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:24,0.154s,PASSED
strTitle = getWindowTitle(),Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:24,0.028s,PASSED
"verifyMatch(strTitle, ""CURA Healthcare Service"", false)",Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:24,0.009s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:24,0.015s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Click on Login Link,Chrome 91.0.4472.101,This test case is for opening the application on the browser,Browser,2021-06-15 20:57:24,2021-06-15 20:57:26,2.241s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:24,0.003s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/menu-toggle""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:24,2021-06-15 20:57:25,0.696s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Login link""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:25,2021-06-15 20:57:26,0.903s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/Please login to make appointment""), ""Please login to make appointment."")",Chrome 91.0.4472.101,,,2021-06-15 20:57:26,2021-06-15 20:57:26,0.420s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:26,2021-06-15 20:57:26,0.001s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Login Application,Chrome 91.0.4472.101,Login test,Login,2021-06-15 20:57:26,2021-06-15 20:57:29,2.836s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:27,2021-06-15 20:57:27,0.002s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 20:57:27,2021-06-15 20:57:27,0.680s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 20:57:27,2021-06-15 20:57:28,0.472s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:28,2021-06-15 20:57:29,0.939s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 20:57:29,2021-06-15 20:57:29,0.531s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:29,2021-06-15 20:57:29,0.002s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Create Appointment,Chrome 91.0.4472.101,This test case is for making appointment,Appointment,2021-06-15 20:57:29,2021-06-15 20:57:33,4.027s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:29,2021-06-15 20:57:29,0.001s,PASSED
"selectOptionByValue(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/facility""), Facility, false)",Chrome 91.0.4472.101,,,2021-06-15 20:57:30,2021-06-15 20:57:31,1.048s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Apply for hospital readmission_hospital_readmission""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:31,2021-06-15 20:57:31,0.440s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Visit Date (Required)""), VisitDate)",Chrome 91.0.4472.101,,,2021-06-15 20:57:31,2021-06-15 20:57:32,0.463s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Comment_comment""), Comment)",Chrome 91.0.4472.101,,,2021-06-15 20:57:32,2021-06-15 20:57:32,0.586s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Book Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:32,2021-06-15 20:57:33,0.845s,PASSED
"verifyElementVisible(findTestObject(""Web Object Repository/CURA Healthcare Service/Confirmation Page/Appointment Confirmation""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:33,2021-06-15 20:57:33,0.376s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:33,2021-06-15 20:57:33,0.001s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/LogOut Application,Chrome 91.0.4472.101,This is for appliction Logout,,2021-06-15 20:57:33,2021-06-15 20:57:35,1.676s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:33,2021-06-15 20:57:33,0.001s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/menu-toggle""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:34,2021-06-15 20:57:34,0.365s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Logout""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:34,2021-06-15 20:57:35,0.681s,PASSED
"verifyElementVisible(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 20:57:35,2021-06-15 20:57:35,0.316s,PASSED
closeBrowser(),Chrome 91.0.4472.101,,,2021-06-15 20:57:35,2021-06-15 20:57:35,0.098s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 20:57:35,2021-06-15 20:57:35,0.004s,PASSED
