Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Use of Listners TestSuite,Chrome 91.0.4472.101,,,2021-06-15 21:09:12,2021-06-15 21:09:29,17.330s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Click on Login Link,Chrome 91.0.4472.101,This test case is for opening the application on the browser,Browser,2021-06-15 21:09:20,2021-06-15 21:09:22,2.601s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:20,2021-06-15 21:09:20,0.021s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/menu-toggle""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:20,2021-06-15 21:09:21,0.828s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Login link""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:21,2021-06-15 21:09:22,1.010s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/Please login to make appointment""), ""Please login to make appointment."")",Chrome 91.0.4472.101,,,2021-06-15 21:09:22,2021-06-15 21:09:22,0.431s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:22,2021-06-15 21:09:22,0.006s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Login Application,Chrome 91.0.4472.101,Login test,Login,2021-06-15 21:09:22,2021-06-15 21:09:25,2.493s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:22,2021-06-15 21:09:22,0.005s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:09:23,2021-06-15 21:09:23,0.680s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:09:23,2021-06-15 21:09:24,0.471s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:24,2021-06-15 21:09:25,0.828s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:09:25,2021-06-15 21:09:25,0.324s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:25,2021-06-15 21:09:25,0.005s,PASSED
,,,,,,,
Test Cases/Web Test Cases/CURA Healthcare Service/Appointment/Create Appointment,Chrome 91.0.4472.101,This test case is for making appointment,Appointment,2021-06-15 21:09:25,2021-06-15 21:09:29,4.180s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:25,2021-06-15 21:09:25,0.002s,PASSED
"selectOptionByValue(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/facility""), Facility, false)",Chrome 91.0.4472.101,,,2021-06-15 21:09:25,2021-06-15 21:09:26,0.887s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Apply for hospital readmission_hospital_readmission""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:26,2021-06-15 21:09:27,0.491s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Visit Date (Required)""), VisitDate)",Chrome 91.0.4472.101,,,2021-06-15 21:09:27,2021-06-15 21:09:27,0.660s,PASSED
"sendKeys(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Comment_comment""), Comment)",Chrome 91.0.4472.101,,,2021-06-15 21:09:27,2021-06-15 21:09:28,0.581s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Book Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:28,2021-06-15 21:09:29,0.755s,PASSED
"verifyElementVisible(findTestObject(""Web Object Repository/CURA Healthcare Service/Confirmation Page/Appointment Confirmation""))",Chrome 91.0.4472.101,,,2021-06-15 21:09:29,2021-06-15 21:09:29,0.537s,PASSED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:09:29,2021-06-15 21:09:29,0.002s,PASSED
